,Task,Core,Start,End,Rank
894,946,6,432519.7871265999,436751.9865864999,45346.5961769
895,488,6,436751.9865864999,440380.0786285999,793235.0927209998
896,483,6,440380.0786285999,447418.7296510999,789607.0006788998
897,1442,6,441490.9094468999,448551.5939432999,780370.9759543001
898,1026,6,445637.8077060999,447181.1031151999,590673.6551081002
899,1030,6,447181.1031151999,448020.1477949999,589130.3596990001
900,1446,6,448551.5939432999,449894.6857057999,773310.2914579002
901,1447,6,449894.6857057999,450988.4595415999,771967.1996954002
902,1014,6,459792.95353829995,460049.03334509995,45755.852027999994
903,1022,6,460049.03334509995,463191.05034529994,45499.77222119999
904,1008,6,463191.05034529994,464715.95762689994,42357.75522099999
905,1445,6,464715.95762689994,466709.6875738999,760193.0082121002
906,1448,6,466709.6875738999,469649.2831776999,758199.2782651002
907,811,6,469649.2831776999,470449.9031793999,755259.6826613002
908,812,6,470767.5773877999,471496.71032619994,754459.0626596002
909,1020,6,494890.5931538,499954.89576,11517.693520199999
910,351,6,499954.89576,505959.3387982,546835.0055332001
911,1384,6,511291.53170979995,515099.92072839994,18395.9809202
